	중학교용 900	고등학교용 900
우	于又友右宇尤憂牛遇雨 	偶優愚羽郵 
운	云運雲 	韻 
웅	雄 	
원	元原圓園怨遠願 	員援源院 
월	月 	越 
위	位偉危威爲 	僞圍委慰緯胃衛謂違 
유	唯幼有柔油猶由遊遺酉 	乳儒幽悠惟愈維裕誘 
육	肉育 	
윤		潤閏 
은	恩銀 	隱 
을	乙 	
음	吟陰音飮 	淫 
읍	泣邑 	
응	應 	凝 
의	依意矣義衣議醫 	儀宜疑 
이	二以已異移而耳 	夷 
익	益 	翼 
인	人仁印因寅引忍認 	姻 
일	一日 	逸 
임	壬 	任賃 
입	入 	
자	姊子字慈者自 	刺姿恣紫茲資 
작	作昨 	爵酌 
잔		殘 
잠		暫潛 
잡		雜 
장	場壯將章長 	丈墻奬帳張掌粧腸臟莊葬藏裝障 
재	再哉在才材栽財 	宰災裁載 
쟁	爭 	
저	低著貯 	底抵 
적	敵的赤適 	寂摘滴積籍績賊跡 
전	傳全典前展戰田錢電 	專殿轉 
절	節絕 	切折竊 
점	店 	占漸點 
접	接 	蝶 
정	丁井停定庭情政正淨精貞靜頂 	亭廷征整程訂 
제	帝弟祭第製諸除題 	制堤提濟際齊 
조	兆助早朝祖調造鳥 	弔操條潮照燥租組 
족	族足 	
존	存尊 	
졸	卒 	拙 
종	宗從種終鐘 	縱 
좌	坐左 	佐座 
죄	罪 	
주	主住宙晝朱注走酒 	周奏州柱株洲珠舟鑄 
죽	竹 	
준		俊準遵 
중	中衆重 	仲 
즉	卽 	
증	增曾證 	憎症蒸贈 
지	之只地志持指支枝止知紙至 	智池誌遲 
직	直 	織職 
진	盡眞辰進 	振珍鎭陣陳震 
질	質 	姪疾秩 
집	執集 	
징		徵懲 
차	且借次此 	差 
착	着 	捉錯 
찬		讚贊 
찰	察 	
참	參 	慘慙 
창	唱昌窓 	倉創暢蒼 
채	採菜 	債彩 
책	冊責 	策 
처	妻處 	
척	尺 	戚拓斥 
천	千天川泉淺 	薦賤踐遷 
철	鐵 	哲徹 
첨		尖添 
첩		妾 
청	晴淸聽請靑 	廳 
체	體 	替滯逮遞 
초	初招草 	抄礎秒肖超 
촉		促燭觸 
촌	寸村 	
총		總聰銃 
최	最 	催 
추	推秋追 	抽醜 
축	丑祝 	畜築縮蓄逐 
춘	春 	
출	出 	
충	充忠蟲 	衝 
취	取吹就 	臭趣醉 
측		側測 
층		層 
치	治致齒 	値恥置 
칙	則 	
친	親 	
칠	七 	漆 
침	針 	侵寢枕沈浸 
칭		稱 
쾌	快 	
타	他打 	墮妥 
탁		卓托濁濯 
탄		彈歎炭誕 
탈	脫 	奪 
탐	探 	貪 
탑		塔 
탕		湯 
태	太泰 	怠態殆 
택	宅 	擇澤 
토	土 	吐討 
통	統通 	痛 
퇴	退 	
투	投 	透鬪 
특	特 	
파	波破 	把播派罷頗 
판	判 	板版販 
팔	八 	
패	敗貝 	
편	便片篇 	偏編遍 
평	平 	評 
폐	閉 	幣廢弊肺蔽 
포	布抱 	包捕浦胞飽 
폭	暴 	幅爆 
표	表 	標漂票 
품	品 	
풍	豐風 	
피	彼皮 	疲被避 
필	匹必筆 	畢 
하	下何夏河賀 	荷 
학	學 	鶴 
한	寒恨漢閑限韓 	旱汗 
할		割 
함		含咸陷 
합	合 	
항	恒 	巷抗港航項 
해	亥害海解 	奚該 
핵		核 
행	幸行 	
향	向鄕香 	享響 
허	虛許 	
헌		憲獻軒 
험		險驗 
혁	革 	
현	現賢 	懸玄絃縣顯 
혈	血 	穴 
혐		嫌 
협	協 	脅 
형	兄刑形 	亨螢衡 
혜	惠 	兮慧 
호	乎呼好戶湖虎號 	互毫浩胡護豪 
혹	或 	惑 
혼	婚混 	昏魂 
홀		忽 
홍	紅 	弘洪鴻 
화	化和火畫花華話貨 	禍禾 
확		擴確穫 
환	患歡 	丸換環還 
활	活 	
황	皇黃 	況荒 
회	回會 	悔懷 
획		劃獲 
횡		橫 
효	孝效 	曉 
후	厚後 	侯候 
훈	訓 	
훼		毁 
휘		揮輝 
휴	休 	携 
흉	凶胸 	
흑	黑 	
흡		吸 
흥	興 	
희	喜希 	戲稀 
