序号	分级	字	繁体字	异体字	汉语拼音	笔画数	笔画分组	通用字分组	简化字总表（1986版）
1	一级	一			yī	一画	一	常用字	
2	一级	乙			yǐ	一画	乛	常用字	
3	一级	二			èr	二画	一	常用字	
4	一级	十			shí	二画	一	常用字	
5	一级	丁			dīng,zhēng	二画	一	常用字	
6	一级	厂	廠		chǎng,ān,hàn	二画	一	常用字	第一表（C）
7	一级	七			qī	二画	一	常用字	
8	一级	卜	～蔔		bǔ,bo	二画	丨	常用字	第一表（B）
9	一级	八			bā	二画	丿	常用字	
10	一级	人			rén	二画	丿	常用字	
11	一级	入			rù	二画	丿	常用字	
12	一级	儿	兒		ér	二画	丿	常用字	第一表（E）
13	一级	匕			bǐ	二画	丿	次常用字	
14	一级	几	～幾		jī,jǐ	二画	丿	常用字	第二表（J）
15	一级	九			jiǔ	二画	丿	常用字	
16	一级	刁			diāo	二画	乛	次常用字	
17	一级	了	～瞭		liǎo,le	二画	乛	常用字	第一表（L）
18	一级	刀			dāo	二画	乛	常用字	
19	一级	力			lì	二画	乛	常用字	
20	一级	乃		廼迺	nǎi	二画	乛	常用字	
21	一级	又			yòu	二画	乛	常用字	
22	一级	三			sān	三画	一	常用字	
23	一级	干	～乾幹	乹亁榦	gān,gàn	三画	一	常用字	第一表（G）
24	一级	于			yú	三画	一	常用字	
25	一级	亏	虧		kuī	三画	一	常用字	第一表（K）
26	一级	工			gōng	三画	一	常用字	
27	一级	土			tǔ	三画	一	常用字	
28	一级	士			shì	三画	一	常用字	
29	一级	才	～纔		cái	三画	一	常用字	第一表（C）
30	一级	下			xià	三画	一	常用字	
31	一级	寸			cùn	三画	一	常用字	
32	一级	大			dà,dài,tài	三画	一	常用字	
33	一级	丈			zhàng	三画	一	常用字	
34	一级	与	與		yǔ,yù,yú	三画	一	常用字	第二表（Y）
35	一级	万	～萬		wàn,mò	三画	一	常用字	第二表（W）
36	一级	上			shàng,shǎng	三画	丨	常用字	
37	一级	小			xiǎo	三画	丨	常用字	
38	一级	口			kǒu	三画	丨	常用字	
39	一级	山			shān	三画	丨	常用字	
40	一级	巾			jīn	三画	丨	常用字	
41	一级	千	～韆		qiān	三画	丿	常用字	第一表（Q）
42	一级	乞			qǐ	三画	丿	常用字	
43	一级	川			chuān	三画	丿	常用字	
44	一级	亿	億		yì	三画	丿	常用字	第一表（Y）
45	一级	个	個	箇	gè,gě	三画	丿	常用字	第一表（G）
46	一级	夕			xī	三画	丿	常用字	
47	一级	久			jiǔ	三画	丿	常用字	
48	一级	么	麽		yāo,mó,ma,me	三画	丿	常用字	第一表（M）
49	一级	勺			sháo	三画	丿	常用字	
50	一级	凡		凢	fán	三画	丿	常用字	
51	一级	丸			wán	三画	丿	常用字	
52	一级	及			jí	三画	丿	常用字	
53	一级	广	廣		guǎng,ān	三画	丶	常用字	第二表（G）
54	一级	亡		亾	wáng,wú	三画	丶	常用字	
55	一级	门	門		mén	三画	丶	常用字	第二表（M）
56	一级	丫		枒椏	yā	三画	丶	通用字	
57	一级	义	義		yì	三画	丶	常用字	第二表（Y）
58	一级	之			zhī	三画	丶	常用字	
59	一级	尸		屍	shī	三画	乛	常用字	
60	一级	己			jǐ	三画	乛	常用字	
61	一级	已			yǐ	三画	乛	常用字	
62	一级	巳			sì	三画	乛	通用字	
63	一级	弓			gōng	三画	乛	常用字	
64	一级	子			zǐ	三画	乛	常用字	
65	一级	卫	衛		wèi	三画	乛	常用字	第一表（W）
66	一级	也			yě	三画	乛	常用字	
67	一级	女			nǚ,rǔ	三画	乛	常用字	
68	一级	刃			rèn	三画	乛	常用字	
69	一级	飞	飛		fēi	三画	乛	常用字	第一表（F）
70	一级	习	習		xí	三画	乛	常用字	第一表（X）
71	一级	叉			chā,chá,chǎ	三画	乛	常用字	
72	一级	马	馬		mǎ	三画	乛	常用字	第二表（M）
73	一级	乡	鄉		xiāng	三画	乛	常用字	第二表（X）
74	一级	丰	～豐		fēng	四画	一	常用字	第二表（F）
75	一级	王			wáng,wàng	四画	一	常用字	
76	一级	开	開		kāi	四画	一	常用字	第一表（K）
77	一级	井			jǐng	四画	一	常用字	
78	一级	天			tiān	四画	一	常用字	
79	一级	夫			fū,fú	四画	一	常用字	
80	一级	元			yuán	四画	一	常用字	
81	一级	无	無		wú	四画	一	常用字	第二表（W）
82	一级	云	～雲		yún	四画	一	常用字	第二表（Y）
83	一级	专	專	耑	zhuān	四画	一	常用字	第二表（Z）
84	一级	丐		匃匄	gài	四画	一	次常用字	
85	一级	扎		紥紮	zā,zhā,zhá	四画	一	常用字	
86	一级	艺	藝		yì	四画	一	常用字	第二表（Y）
87	一级	木			mù	四画	一	常用字	
88	一级	五			wǔ	四画	一	常用字	
89	一级	支			zhī	四画	一	常用字	
90	一级	厅	廳		tīng	四画	一	常用字	第一表（T）
91	一级	不			bù,fǒu	四画	一	常用字	
92	一级	犬			quǎn	四画	一	常用字	
93	一级	太			tài	四画	一	常用字	
94	一级	区	區		qū,ōu	四画	一	常用字	第二表（Q）
95	一级	历	歷曆	歴𠪱厤	lì	四画	一	常用字	第二表（L）
96	一级	歹			dǎi	四画	一	次常用字	
97	一级	友			yǒu	四画	一	常用字	
98	一级	尤			yóu	四画	一	常用字	
99	一级	匹		疋	pǐ	四画	一	常用字	
100	一级	车	車		chē,jū	四画	一	常用字	第二表（C）
101	一级	巨		鉅	jù	四画	一	常用字	
102	一级	牙			yá	四画	一	常用字	
103	一级	屯			tún,zhūn	四画	一	常用字	
104	一级	戈			gē	四画	一	次常用字	
105	一级	比			bǐ	四画	一	常用字	
106	一级	互			hù	四画	一	常用字	
107	一级	切			qiē,qiè	四画	一	常用字	
108	一级	瓦			wǎ,wà	四画	一	常用字	
109	一级	止			zhǐ	四画	丨	常用字	
110	一级	少			shǎo,shào	四画	丨	常用字	
111	一级	曰			yuē	四画	丨	通用字	
112	一级	日			rì	四画	丨	常用字	
113	一级	中			zhōng,zhòng	四画	丨	常用字	
114	一级	贝	貝		bèi	四画	丨	常用字	第二表（B）
115	一级	冈	岡		gāng	四画	丨	常用字	第二表（G）
116	一级	内			nèi,nà	四画	丨	常用字	
117	一级	水			shuǐ	四画	丨	常用字	
118	一级	见	見		jiàn,xiàn	四画	丨	常用字	第二表（J）
119	一级	午			wǔ	四画	丿	常用字	
120	一级	牛			niú	四画	丿	常用字	
121	一级	手			shǒu	四画	丿	常用字	
122	一级	气	氣		qì	四画	丿	常用字	第二表（Q）
123	一级	毛			máo	四画	丿	常用字	
124	一级	壬			rén	四画	丿	通用字	
125	一级	升		昇陞	shēng	四画	丿	常用字	
126	一级	夭		殀	yāo	四画	丿	次常用字	
127	一级	长	長		cháng,zhǎng	四画	丿	常用字	第二表（C）
128	一级	仁			rén	四画	丿	常用字	
129	一级	什			shí,shén	四画	丿	常用字	
130	一级	片			piàn,piān	四画	丿	常用字	
131	一级	仆	～僕		pū,pú	四画	丿	常用字	第一表（P）
132	一级	化			huà,huā	四画	丿	常用字	
133	一级	仇		讐讎	chóu,qiú	四画	丿	常用字	
134	一级	币	幣		bì	四画	丿	常用字	第一表（B）
135	一级	仍			réng	四画	丿	常用字	
136	一级	仅	僅		jǐn,jìn	四画	丿	常用字	第一表（J）
137	一级	斤		觔	jīn	四画	丿	常用字	
138	一级	爪			zhǎo,zhuǎ	四画	丿	常用字	
139	一级	反			fǎn	四画	丿	常用字	
140	一级	介			jiè	四画	丿	常用字	
141	一级	父			fù,fǔ	四画	丿	常用字	
142	一级	从	從		cóng,zòng	四画	丿	常用字	第二表（C）
143	一级	仑	侖	崘崙	lún	四画	丿	次常用字	第二表（L）
144	一级	今			jīn	四画	丿	常用字	
145	一级	凶		兇	xiōng	四画	丿	常用字	
146	一级	分			fēn,fèn	四画	丿	常用字	
147	一级	乏			fá	四画	丿	常用字	
148	一级	公			gōng	四画	丿	常用字	
149	一级	仓	倉		cāng	四画	丿	常用字	第二表（C）
150	一级	月			yuè	四画	丿	常用字	
151	一级	氏			shì,zhī	四画	丿	常用字	
152	一级	勿			wù	四画	丿	常用字	
153	一级	欠			qiàn	四画	丿	常用字	
154	一级	风	風		fēng,fěng	四画	丿	常用字	第二表（F）
155	一级	丹			dān	四画	丿	常用字	
156	一级	匀			yún	四画	丿	常用字	
157	一级	乌	烏		wū	四画	丿	常用字	第二表（W）
158	一级	勾			gōu,gòu	四画	丿	常用字	
159	一级	凤	鳳		fèng	四画	丿	常用字	第一表（F）
160	一级	六			liù,lù	四画	丶	常用字	
161	一级	文			wén	四画	丶	常用字	
162	一级	亢			kàng	四画	丶	通用字	
163	一级	方			fāng	四画	丶	常用字	
164	一级	火			huǒ	四画	丶	常用字	
165	一级	为	爲		wéi,wèi	四画	丶	常用字	第二表（W）
166	一级	斗	～鬥	鬦鬪鬭	dǒu,dòu	四画	丶	常用字	第一表（D）
167	一级	忆	憶		yì	四画	丶	常用字	第一表（Y）
168	一级	计	計		jì	四画	丶	常用字	第三表（讠）
169	一级	订	訂		dìng	四画	丶	常用字	第三表（讠）
170	一级	户			hù	四画	丶	常用字	
171	一级	认	認		rèn	四画	丶	常用字	第一表（R）
172	一级	冗		宂	rǒng	四画	丶	次常用字	
173	一级	讥	譏		jī	四画	丶	次常用字	第三表（几）、第三表（讠）
174	一级	心			xīn	四画	丶	常用字	
175	一级	尺			chǐ,chě	四画	乛	常用字	
176	一级	引			yǐn	四画	乛	常用字	
177	一级	丑	～醜		chǒu	四画	乛	常用字	第一表（C）
178	一级	巴			bā	四画	乛	常用字	
179	一级	孔			kǒng	四画	乛	常用字	
180	一级	队	隊		duì	四画	乛	常用字	第二表（D）
181	一级	办	辦		bàn	四画	乛	常用字	第一表（B）
182	一级	以		㕥㠯	yǐ	四画	乛	常用字	
183	一级	允			yǔn	四画	乛	常用字	
184	一级	予			yú,yǔ	四画	乛	常用字	
185	一级	邓	鄧		dèng	四画	乛	次常用字	第一表（D）
186	一级	劝	勸		quàn	四画	乛	常用字	第一表（Q）
187	一级	双	雙		shuāng	四画	乛	常用字	第二表（S）
188	一级	书	書		shū	四画	乛	常用字	第一表（S）
189	一级	幻			huàn	四画	乛	常用字	
190	一级	玉			yù	五画	一	常用字	
191	一级	刊		栞	kān	五画	一	常用字	
192	一级	未			wèi	五画	一	常用字	
193	一级	末			mò	五画	一	常用字	
194	一级	示			shì	五画	一	常用字	
195	一级	击	擊		jī	五画	一	常用字	第一表（J）
196	一级	打			dǎ,dá	五画	一	常用字	
197	一级	巧			qiǎo	五画	一	常用字	
198	一级	正			zhèng,zhēng	五画	一	常用字	
199	一级	扑	撲		pū	五画	一	常用字	第一表（P）
200	一级	卉			huì	五画	一	通用字	
201	一级	扒			bā,pá	五画	一	常用字	
202	一级	功			gōng	五画	一	常用字	
203	一级	扔			rēng	五画	一	常用字	
204	一级	去			qù	五画	一	常用字	
205	一级	甘			gān	五画	一	常用字	
206	一级	世			shì	五画	一	常用字	
207	一级	艾			ài	五画	一	次常用字	
208	一级	古			gǔ	五画	一	常用字	
209	一级	节	節		jié,jiē	五画	一	常用字	第二表（J）
210	一级	本			běn	五画	一	常用字	
211	一级	术	～術		shù,shú,zhú	五画	一	常用字	第一表（S）
212	一级	可			kě,kè	五画	一	常用字	
213	一级	丙			bǐng	五画	一	常用字	
214	一级	左			zuǒ	五画	一	常用字	
215	一级	厉	厲		lì	五画	一	常用字	第三表（万）
216	一级	石			shí,dàn	五画	一	常用字	
217	一级	右			yòu	五画	一	常用字	
218	一级	布		佈	bù	五画	一	常用字	
219	一级	夯			hāng,bèn	五画	一	次常用字	
220	一级	戊			wù	五画	一	通用字	
221	一级	龙	龍		lóng	五画	一	常用字	第二表（L）
222	一级	平			píng	五画	一	常用字	
223	一级	灭	滅		miè	五画	一	常用字	第一表（M）
224	一级	轧	軋		yà	五画	一	常用字	第三表（车）
225	一级	东	東		dōng	五画	一	常用字	第二表（D）
226	一级	卡			qiǎ,kǎ	五画	丨	常用字	
227	一级	北			běi,bèi	五画	丨	常用字	
228	一级	占		佔	zhān,zhàn	五画	丨	常用字	
229	一级	凸			tū	五画	丨	次常用字	
230	一级	卢	盧		lú	五画	丨	次常用字	第二表（L）
231	一级	业	業		yè	五画	丨	常用字	第二表（Y）
232	一级	旧	舊		jiù	五画	丨	常用字	第一表（J）
233	一级	帅	帥		shuài	五画	丨	常用字	第一表（S）
234	一级	归	歸		guī	五画	丨	常用字	第二表（G）
235	一级	旦			dàn	五画	丨	常用字	
236	一级	目			mù	五画	丨	常用字	
237	一级	且			qiě,jū	五画	丨	常用字	
238	一级	叶	～葉		yè,xié	五画	丨	常用字	第一表（Y）
239	一级	甲			jiǎ	五画	丨	常用字	
240	一级	申			shēn	五画	丨	常用字	
241	一级	叮			dīng	五画	丨	常用字	
242	一级	电	電		diàn	五画	丨	常用字	第一表（D）
243	一级	号	號		hào,háo	五画	丨	常用字	第一表（H）
244	一级	田			tián	五画	丨	常用字	
245	一级	由			yóu	五画	丨	常用字	
246	一级	只	衹隻	祇秖	zhī,zhǐ	五画	丨	常用字	第一表（Z）
247	一级	叭			bā	五画	丨	次常用字	
248	一级	史			shǐ	五画	丨	常用字	
249	一级	央			yāng	五画	丨	常用字	
250	一级	兄			xiōng	五画	丨	常用字	
251	一级	叽	嘰		jī	五画	丨	次常用字	第三表（几）
252	一级	叼			diāo	五画	丨	常用字	
253	一级	叫		呌	jiào	五画	丨	常用字	
254	一级	叩		敂	kòu	五画	丨	通用字	
255	一级	叨			tāo,dāo	五画	丨	常用字	
256	一级	另			lìng	五画	丨	常用字	
257	一级	叹	嘆	歎	tàn	五画	丨	常用字	第一表（T）
258	一级	冉		冄	rǎn	五画	丨	通用字	
259	一级	皿			mǐn	五画	丨	次常用字	
260	一级	凹			āo,wā	五画	丨	次常用字	
261	一级	囚			qiú	五画	丨	次常用字	
262	一级	四			sì	五画	丨	常用字	
263	一级	生			shēng	五画	丿	常用字	
264	一级	矢			shǐ	五画	丿	次常用字	
265	一级	失			shī	五画	丿	常用字	
266	一级	乍			zhà	五画	丿	次常用字	
267	一级	禾			hé	五画	丿	常用字	
268	一级	丘		坵	qiū	五画	丿	常用字	
269	一级	付			fù	五画	丿	常用字	
270	一级	仗			zhàng	五画	丿	常用字	
271	一级	代			dài	五画	丿	常用字	
272	一级	仙		僊	xiān	五画	丿	常用字	
273	一级	们	們		mén	五画	丿	常用字	第三表（门）
274	一级	仪	儀		yí	五画	丿	常用字	第三表（义）
275	一级	白			bái	五画	丿	常用字	
276	一级	仔			zī,zǐ,zǎi	五画	丿	常用字	
277	一级	他			tā	五画	丿	常用字	
278	一级	斥			chì	五画	丿	常用字	
279	一级	瓜			guā	五画	丿	常用字	
280	一级	乎			hū	五画	丿	常用字	
281	一级	丛	叢		cóng	五画	丿	常用字	第一表（C）
282	一级	令			líng,lǐng,lìng	五画	丿	常用字	
283	一级	用			yòng	五画	丿	常用字	
284	一级	甩			shuǎi	五画	丿	常用字	
285	一级	印			yìn	五画	丿	常用字	
286	一级	尔	爾	尒	ěr	五画	丿	次常用字	第二表（E）
287	一级	乐	樂		lè,yuè	五画	丿	常用字	第二表（L）
288	一级	句			jù,gōu	五画	丿	常用字	
289	一级	匆		怱悤	cōng	五画	丿	常用字	
290	一级	册		冊	cè	五画	丿	常用字	
291	一级	卯		夘戼	mǎo	五画	丿	通用字	
292	一级	犯			fàn	五画	丿	常用字	
293	一级	外			wài	五画	丿	常用字	
294	一级	处	處		chǔ,chù	五画	丿	常用字	第一表（C）
295	一级	冬	～鼕		dōng	五画	丿	常用字	第一表（D）
296	一级	鸟	鳥		niǎo	五画	丿	常用字	第二表（N）
297	一级	务	務		wù	五画	丿	常用字	第一表（W）
298	一级	包			bāo	五画	丿	常用字	
299	一级	饥	饑飢		jī	五画	丿	常用字	第三表（几）、第三表（饣）
300	一级	主			zhǔ	五画	丶	常用字	
301	一级	市			shì	五画	丶	常用字	
302	一级	立			lì	五画	丶	常用字	
303	一级	冯	馮		féng,píng	五画	丶	次常用字	第三表（马）
304	一级	玄			xuán	五画	丶	次常用字	
305	一级	闪	閃		shǎn	五画	丶	常用字	第三表（门）
306	一级	兰	蘭		lán	五画	丶	常用字	第一表（L）
307	一级	半			bàn	五画	丶	常用字	
308	一级	汁			zhī	五画	丶	常用字	
309	一级	汇	匯彙	滙	huì	五画	丶	常用字	第二表（H）
310	一级	头	頭		tóu,tou	五画	丶	常用字	第一表（T）
311	一级	汉	漢		hàn	五画	丶	常用字	第一表（H）
312	一级	宁	寧	寕甯	níng,nìng,zhù	五画	丶	常用字	第二表（N）
313	一级	穴			xué	五画	丶	常用字	
314	一级	它		牠	tā	五画	丶	常用字	
315	一级	讨	討		tǎo	五画	丶	常用字	第三表（讠）
316	一级	写	寫		xiě	五画	丶	常用字	第二表（X）
317	一级	让	讓		ràng	五画	丶	常用字	第一表（R）
318	一级	礼	禮		lǐ	五画	丶	常用字	第一表（L）
319	一级	训	訓		xùn	五画	丶	常用字	第三表（讠）
320	一级	议	議		yì	五画	丶	常用字	第三表（义）、第三表（讠）
321	一级	必			bì	五画	丶	常用字	
322	一级	讯	訊		xùn	五画	丶	常用字	第三表（讠）
323	一级	记	記		jì	五画	丶	常用字	第三表（讠）
324	一级	永			yǒng	五画	丶	常用字	
325	一级	司			sī	五画	乛	常用字	
326	一级	尼			ní	五画	乛	常用字	
327	一级	民			mín	五画	乛	常用字	
328	一级	弗			fú	五画	乛	通用字	
329	一级	弘			hóng	五画	乛	通用字	
330	一级	出	～齣		chū	五画	乛	常用字	第一表（C）
331	一级	辽	遼		liáo	五画	乛	常用字	第一表（L）
332	一级	奶		妳嬭	nǎi	五画	乛	常用字	
333	一级	奴			nú	五画	乛	常用字	
334	一级	召			zhào,shào	五画	乛	常用字	
335	一级	加			jiā	五画	乛	常用字	
336	一级	皮			pí	五画	乛	常用字	
337	一级	边	邊		biān	五画	乛	常用字	第二表（B）
338	一级	孕			yùn	五画	乛	常用字	
339	一级	发	發髮		fā,fà	五画	乛	常用字	第二表（F）
340	一级	圣	聖		shèng	五画	乛	常用字	第二表（S）
341	一级	对	對		duì	五画	乛	常用字	第二表（D）
342	一级	台	～臺颱檯		tái,tāi	五画	乛	常用字	第一表（T）
343	一级	矛			máo	五画	乛	常用字	
344	一级	纠	糾	糺	jiū	五画	乛	常用字	第三表（纟）
345	一级	母			mǔ	五画	乛	常用字	
346	一级	幼			yòu	五画	乛	常用字	
347	一级	丝	絲		sī	五画	乛	常用字	第三表（纟）
348	一级	邦			bāng	六画	一	次常用字	
349	一级	式			shì	六画	一	常用字	
350	一级	迂			yū	六画	一	次常用字	
351	一级	刑			xíng	六画	一	常用字	
352	一级	戎			róng	六画	一	通用字	
353	一级	动	動	働	dòng	六画	一	常用字	第二表（D）
354	一级	扛		摃	káng,gāng	六画	一	常用字	
355	一级	寺			sì	六画	一	常用字	
356	一级	吉			jí	六画	一	常用字	
357	一级	扣		釦	kòu	六画	一	常用字	
358	一级	考		攷	kǎo	六画	一	常用字	
359	一级	托		託	tuō	六画	一	常用字	
360	一级	老			lǎo	六画	一	常用字	
361	一级	巩	鞏		gǒng	六画	一	常用字	第一表（G）
362	一级	圾			jī	六画	一	常用字	
363	一级	执	執		zhí	六画	一	常用字	第二表（Z）
364	一级	扩	擴		kuò	六画	一	常用字	第三表（广）
365	一级	扫	掃		sǎo,sào	六画	一	常用字	第一表（S）
366	一级	地			dì,de	六画	一	常用字	
367	一级	场	場	塲	cháng,chǎng	六画	一	常用字	第三表（【汤字边】）
368	一级	扬	揚	敭颺	yáng	六画	一	常用字	第三表（【汤字边】）
369	一级	耳			ěr	六画	一	常用字	
370	一级	芋			yù	六画	一	次常用字	
371	一级	共			gòng,gōng	六画	一	常用字	
372	一级	芒			máng	六画	一	常用字	
373	一级	亚	亞		yà	六画	一	常用字	第二表（Y）
374	一级	芝			zhī	六画	一	常用字	
375	一级	朽			xiǔ	六画	一	常用字	
376	一级	朴	～樸		pǔ,pò,pō,piáo	六画	一	常用字	第一表（P）
377	一级	机	機		jī	六画	一	常用字	第三表（几）
378	一级	权	權		quán	六画	一	常用字	第一表（Q）
379	一级	过	過		guò,guo,guō	六画	一	常用字	第二表（G）
380	一级	臣			chén	六画	一	常用字	
381	一级	吏			lì	六画	一	次常用字	
382	一级	再		𠕂𠕅	zài	六画	一	常用字	
383	一级	协	協		xié	六画	一	常用字	第一表（X）
384	一级	西			xī	六画	一	常用字	
385	一级	压	壓		yā,yà	六画	一	常用字	第一表（Y）
386	一级	厌	厭		yàn	六画	一	常用字	第二表（Y）
387	一级	戌			xū	六画	一	通用字	
388	一级	在			zài	六画	一	常用字	
389	一级	百			bǎi	六画	一	常用字	
390	一级	有			yǒu,yòu	六画	一	常用字	
391	一级	存			cún	六画	一	常用字	
392	一级	而			ér	六画	一	常用字	
393	一级	页	頁		yè	六画	一	常用字	第二表（Y）
394	一级	匠			jiàng	六画	一	常用字	
395	一级	夸	～誇		kuā,kuà	六画	一	常用字	第一表（K）
396	一级	夺	奪		duó	六画	一	常用字	第一表（D）
397	一级	灰			huī	六画	一	常用字	
398	一级	达	達		dá	六画	一	常用字	第二表（D）
399	一级	列			liè	六画	一	常用字	
400	一级	死			sǐ	六画	一	常用字	
401	一级	成			chéng	六画	一	常用字	
402	一级	夹	夾	袷裌	jiā,jiá,gā,xiá	六画	一	常用字	第二表（J）
403	一级	夷			yí	六画	一	次常用字	
404	一级	轨	軌		guǐ	六画	一	常用字	第三表（车）
405	一级	邪		衺	xié,yá,yé,yú,xú	六画	一	常用字	
406	一级	尧	堯		yáo	六画	一	通用字	第二表（Y）
407	一级	划	～劃		huá,huà	六画	一	常用字	第一表（H）
408	一级	迈	邁		mài	六画	一	常用字	第三表（万）
409	一级	毕	畢		bì	六画	一	常用字	第二表（B）
410	一级	至			zhì	六画	一	常用字	
411	一级	此			cǐ	六画	丨	常用字	
412	一级	贞	貞		zhēn	六画	丨	常用字	第三表（贝）
413	一级	师	師		shī	六画	丨	常用字	第二表（S）
414	一级	尘	塵		chén	六画	丨	常用字	第一表（C）
415	一级	尖			jiān	六画	丨	常用字	
416	一级	劣			liè	六画	丨	常用字	
417	一级	光			guāng	六画	丨	常用字	
418	一级	当	當噹		dāng,dàng	六画	丨	常用字	第二表（D）
419	一级	早			zǎo	六画	丨	常用字	
420	一级	吁	～籲		xū,yù	六画	丨	次常用字	第一表（Y）
421	一级	吐			tǔ,tù	六画	丨	常用字	
422	一级	吓	嚇		xià,hè	六画	丨	常用字	第一表（X）
423	一级	虫	蟲		chóng	六画	丨	常用字	第二表（C）
424	一级	曲	～麯	麴	qū,qǔ	六画	丨	常用字	第一表（Q）
425	一级	团	團糰		tuán	六画	丨	常用字	第一表（T）
426	一级	吕			lǚ	六画	丨	次常用字	
427	一级	同		仝衕	tóng,tòng	六画	丨	常用字	
428	一级	吊		弔	diào	六画	丨	常用字	
429	一级	吃		喫	chī	六画	丨	常用字	
430	一级	因		囙	yīn	六画	丨	常用字	
431	一级	吸			xī	六画	丨	常用字	
432	一级	吗	嗎		má,mǎ,ma	六画	丨	常用字	第三表（马）
433	一级	吆			yāo	六画	丨	次常用字	
434	一级	屿	嶼		yǔ	六画	丨	常用字	第三表（与）
435	一级	屹			yì	六画	丨	次常用字	
436	一级	岁	歲	嵗	suì	六画	丨	常用字	第二表（S）
437	一级	帆		㠶颿	fān	六画	丨	常用字	
438	一级	回	～迴	廻逥	huí	六画	丨	常用字	第一表（H）
439	一级	岂	豈		qǐ,kǎi	六画	丨	常用字	第二表（Q）
440	一级	则	則		zé	六画	丨	常用字	第三表（贝）
441	一级	刚	剛		gāng	六画	丨	常用字	第三表（冈）
442	一级	网	網		wǎng	六画	丨	常用字	第一表（W）
443	一级	肉			ròu	六画	丨	常用字	
444	一级	年		秊	nián	六画	丿	常用字	
445	一级	朱	～硃		zhū,shú	六画	丿	常用字	第一表（Z）
446	一级	先			xiān	六画	丿	常用字	
447	一级	丢			diū	六画	丿	常用字	
448	一级	廷			tíng	六画	丿	次常用字	
449	一级	舌			shé	六画	丿	常用字	
450	一级	竹			zhú	六画	丿	常用字	
451	一级	迁	遷		qiān	六画	丿	常用字	第二表（Q）
452	一级	乔	喬		qiáo	六画	丿	常用字	第二表（Q）
453	一级	迄			qì	六画	丿	次常用字	
454	一级	伟	偉		wěi	六画	丿	常用字	第三表（韦）
455	一级	传	傳		chuán,zhuàn	六画	丿	常用字	第三表（专）
456	一级	乒			pīng	六画	丿	常用字	
457	一级	乓			pāng	六画	丿	常用字	
458	一级	休			xiū,xǔ	六画	丿	常用字	
459	一级	伍			wǔ	六画	丿	常用字	
460	一级	伏			fú	六画	丿	常用字	
461	一级	优	優		yōu	六画	丿	常用字	第一表（Y）
462	一级	臼			jiù	六画	丿	次常用字	
463	一级	伐			fá	六画	丿	常用字	
464	一级	延			yán	六画	丿	常用字	
465	一级	仲			zhòng	六画	丿	次常用字	
466	一级	件			jiàn	六画	丿	常用字	
467	一级	任			rèn,rén	六画	丿	常用字	
468	一级	伤	傷		shāng	六画	丿	常用字	第一表（S）
469	一级	价	價		jià,jiè,jie	六画	丿	常用字	第一表（J）
470	一级	伦	倫		lún	六画	丿	次常用字	第三表（仑）
471	一级	份			fèn,bīn	六画	丿	常用字	
472	一级	华	華		huá,huà,huā	六画	丿	常用字	第二表（H）
473	一级	仰			yǎng,áng	六画	丿	常用字	
474	一级	仿		倣髣	fǎng	六画	丿	常用字	
475	一级	伙	～夥		huǒ	六画	丿	常用字	第一表（H）
476	一级	伪	僞		wěi	六画	丿	常用字	第三表（为）
477	一级	自			zì	六画	丿	常用字	
478	一级	伊			yī	六画	丿	次常用字	
479	一级	血			xiě,xuè	六画	丿	常用字	
480	一级	向	～嚮	曏	xiàng	六画	丿	常用字	第一表（X）
481	一级	似		佀	sì,shì	六画	丿	常用字	
482	一级	后	後～		hòu	六画	丿	常用字	第一表（H）
483	一级	行			háng,xíng	六画	丿	常用字	
484	一级	舟			zhōu	六画	丿	常用字	
485	一级	全			quán	六画	丿	常用字	
486	一级	会	會		huì,kuài	六画	丿	常用字	第二表（H）
487	一级	杀	殺		shā	六画	丿	常用字	第二表（S）
488	一级	合	～閤		hé,gě	六画	丿	常用字	第一表（H）
489	一级	兆			zhào	六画	丿	常用字	
490	一级	企			qǐ	六画	丿	常用字	
491	一级	众	衆	眾	zhòng	六画	丿	常用字	第一表（Z）
492	一级	爷	爺		yé	六画	丿	常用字	第一表（Y）
493	一级	伞	傘	𠌂繖	sǎn	六画	丿	常用字	第一表（S）
494	一级	创	創	剏剙	chuàng,chuāng	六画	丿	常用字	第三表（仓）
495	一级	肌			jī	六画	丿	常用字	
496	一级	肋			lèi,lē	六画	丿	次常用字	
497	一级	朵		朶	duǒ	六画	丿	常用字	
498	一级	杂	雜	襍	zá	六画	丿	常用字	第一表（Z）
499	一级	危			wēi	六画	丿	常用字	
500	一级	旬			xún	六画	丿	常用字	
501	一级	旨			zhǐ	六画	丿	常用字	
502	一级	旭			xù	六画	丿	次常用字	
503	一级	负	負		fù	六画	丿	常用字	第三表（贝）
504	一级	匈			xiōng	六画	丿	次常用字	
505	一级	名			míng	六画	丿	常用字	
506	一级	各			gè,gě	六画	丿	常用字	
507	一级	多			duō	六画	丿	常用字	
508	一级	争			zhēng	六画	丿	常用字	
509	一级	色			sè	六画	丿	常用字	
510	一级	壮	壯		zhuàng	六画	丶	常用字	第一表（Z）
511	一级	冲	～衝		chōng,chòng	六画	丶	常用字	第一表（C）
512	一级	妆	妝	粧	zhuāng	六画	丶	次常用字	第一表（Z）
513	一级	冰		氷	bīng	六画	丶	常用字	
514	一级	庄	莊		zhuāng	六画	丶	常用字	第一表（Z）
515	一级	庆	慶		qìng	六画	丶	常用字	第一表（Q）
516	一级	亦			yì	六画	丶	常用字	
